Reading data...Done
self.train_x.shape (10, 2623, 2772)
self.train_y.shape (10, 2623)
self.train_x_set[0].shape (10, 114, 2772)
self.train_y_set[0].shape (10, 114)
self.test_x.shape (10, 374, 2772)
self.test_y.shape (10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 162, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.35, valid accuracy: 72.06%, test loss: 4.07, test accuracy: 72.06%
Epochs 163, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.54, valid accuracy: 70.61%, test loss: 4.18, test accuracy: 70.24%
Epochs 164, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.39, valid accuracy: 71.78%, test loss: 4.09, test accuracy: 71.71%
Epochs 165, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.56, valid accuracy: 71.30%, test loss: 4.07, test accuracy: 72.35%
Epochs 166, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.47, valid accuracy: 72.16%, test loss: 4.11, test accuracy: 72.38%
Epochs 167, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.67, valid accuracy: 70.93%, test loss: 4.14, test accuracy: 71.71%
Epochs 168, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.58, valid accuracy: 71.28%, test loss: 4.13, test accuracy: 72.57%
Epochs 169, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.62, valid accuracy: 71.70%, test loss: 4.18, test accuracy: 72.46%
Epochs 170, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.62, valid accuracy: 71.50%, test loss: 4.23, test accuracy: 72.25%
Epochs 171, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.65, valid accuracy: 71.44%, test loss: 4.22, test accuracy: 72.33%
Epochs 172, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.64, valid accuracy: 71.78%, test loss: 4.16, test accuracy: 73.10%
Epochs 173, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.70, valid accuracy: 71.67%, test loss: 4.21, test accuracy: 73.10%
Epochs 174, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.74, valid accuracy: 71.50%, test loss: 4.30, test accuracy: 72.43%
Epochs 175, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.79, valid accuracy: 71.38%, test loss: 4.25, test accuracy: 73.24%
Epochs 176, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.77, valid accuracy: 71.91%, test loss: 4.33, test accuracy: 73.05%
Epochs 177, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.74, valid accuracy: 71.92%, test loss: 4.37, test accuracy: 72.30%
Epochs 178, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.81, valid accuracy: 71.80%, test loss: 4.46, test accuracy: 72.57%
Epochs 179, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.88, valid accuracy: 71.66%, test loss: 4.43, test accuracy: 72.83%
Epochs 180, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.90, valid accuracy: 71.62%, test loss: 4.46, test accuracy: 72.03%
Epochs 181, train loss: 0.00, train accuracy: 100.00%, valid loss: 4.94, valid accuracy: 71.55%, test loss: 4.55, test accuracy: 72.03%
